id,text,domain,priority,language,channel,timestamp
1,सुझाव: Hauz Khas के पार्क में और बेंच लगाई जाएं। कृपया जल्दी करें,Other / Unknown,Low,hi,web,2025-01-17T07:01:29
2,Suggestion: upgrade old wiring near Shastri Nagar sometime this year. please help please look into this,Electricity,Low,en,app,2025-04-22T09:17:37
3,"Rohini me sadak ki halat 2 hafto se kharab hai, please theek karwao. suggestion",Roads,Medium,hinglish,phone,2025-05-23T13:19:02
4,"Salt Lake ke paas paani ke pipe se halka leak hai, urgent nahi par check karwa lena. urgent hai",Water,Low,hinglish,web,2025-02-11T14:10:00
5,There is a large pothole on the road near Hauz Khas causing traffic jams for 5 days.,Roads,Medium,en,web,2025-05-25T01:29:43
6,"Ward 7 में रात को निर्माण कार्य का बहुत शोर हो रहा है, एक महीने से यही हाल है। जरूरी नहीं",Other / Unknown,Medium,hi,web,2025-01-21T14:52:23
7,"Dwarka Sector 9 के पास पीने के पानी में सीवेज मिल रहा है, परिवार बीमार पड़ रहे हैं, तत्काल ध्यान दें। बहुत परेशानी हो रही है",Water,High,hi,app,2025-02-11T16:25:51
8,"Nehru Colony के पास 2 हफ्तों से मच्छरों का प्रकोप बढ़ है, लोग बीमारी फैलने से डर रहे हैं।",Health,Medium,hi,app,2025-05-24T22:01:49
9,"Minor drrip from a water pipe near Koramangala, not urgent but should be checked.",Water,Low,en,web,2025-05-21T16:47:38
10,"Minor voltage flicker naer Andheri West, not urgent but worth checking. urgent!!!",Electricity,Low,en,phone,2025-03-26T04:53:18
11,"Malviya Nagar के पास एक हफ्ते से बिजली बार-बार जा रही है, उपकरण खराब हो रहे हैं।",Electricity,Medium,hi,app,2025-04-06T09:16:01
12,"Salt Lake ke paas sadak me bahut bada gaddha hai jiski wajah se kal accident ho gaya, please turant fix karo. halat bigad rahi hai",Roads,High,hinglish,phone,2025-04-17T22:55:44
13,There is a large pothole on road near Andheri West causing traffic jams for a week.,Roads,Medium,en,whatsapp,2025-05-19T16:57:49
14,"Patel Nagar ke paas ek hafte se bijli baar baar ja rahi hai, appliances kharab ho rahe hai.",Electricity,Medium,hinglish,web,2025-04-02T11:46:24
15,"Rohini me khambe ki batti 3 din se band hai, please technician bhejo.",Lights,Medium,hinglish,web,2025-02-03T03:10:42
16,"Model Town के पास स्ट्रीट लाइट 5 दिनों से बंद है और कल रात लूट हो गई, महिलाएं असुरक्षित महसूस कर रही हैं, तुरंत ठीक करें।",Lights,High,hi,app,2025-02-03T15:45:04
17,"Model Town के पास 3 दिन से कचरा नहीं उठाया गया है, डस्टबिन भर गए हैं। बहुत परेशानी हो रही है",Waste,Medium,hi,app,2025-01-08T11:36:11
18,"Gandhi Chowk के पास ट्रांसफार्मर से चिंगारी निकल रही है, बहुत खतरनाक है, आग लग सकती है, तुरंत कार्रवाई करें। हालत बिगड़ रही है",Electricity,High,hi,phone,2025-03-09T21:16:25
19,Malviya Nagar me ek mahine se baar baaar power cut ho raha hai.,Electricity,Medium,hinglish,whatsapp,2025-04-11T22:19:10
20,"Dwarka Sector 9 के पास पानी के पाइप से हल्का रिसाव है, जरूरी नहीं पर जांच करवा लें।",Water,Low,hi,whatsapp,2025-04-07T08:06:55
